#   B/C  AMS02(2011/05-2016/05)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
2.613274e+01 2.520000e+01 2.710000e+01 1.465000e-01 2.000000e-03 2.000000e-03 3.800000e-03 3.800000e-03 4.294182e-03 4.294182e-03
2.813041e+01 2.710000e+01 2.920000e+01 1.426000e-01 2.100000e-03 2.100000e-03 3.800000e-03 3.800000e-03 4.341659e-03 4.341659e-03
3.032820e+01 2.920000e+01 3.150000e+01 1.397000e-01 2.200000e-03 2.200000e-03 3.700000e-03 3.700000e-03 4.304649e-03 4.304649e-03
3.267797e+01 3.150000e+01 3.390000e+01 1.347000e-01 2.300000e-03 2.300000e-03 3.700000e-03 3.700000e-03 4.356604e-03 4.356604e-03
3.517599e+01 3.390000e+01 3.650000e+01 1.351000e-01 2.500000e-03 2.500000e-03 3.800000e-03 3.800000e-03 4.548626e-03 4.548626e-03
3.787413e+01 3.650000e+01 3.930000e+01 1.284000e-01 2.500000e-03 2.500000e-03 3.700000e-03 3.700000e-03 4.465423e-03 4.465423e-03
4.077242e+01 3.930000e+01 4.230000e+01 1.258000e-01 2.700000e-03 2.700000e-03 3.700000e-03 3.700000e-03 4.580393e-03 4.580393e-03
4.391902e+01 4.230000e+01 4.560000e+01 1.188000e-01 2.700000e-03 2.700000e-03 3.500000e-03 3.500000e-03 4.420407e-03 4.420407e-03
4.731765e+01 4.560000e+01 4.910000e+01 1.173000e-01 2.800000e-03 2.800000e-03 3.500000e-03 3.500000e-03 4.482187e-03 4.482187e-03
5.106085e+01 4.910000e+01 5.310000e+01 1.158000e-01 2.900000e-03 2.900000e-03 3.600000e-03 3.600000e-03 4.622770e-03 4.622770e-03
5.506369e+01 5.310000e+01 5.710000e+01 1.104000e-01 3.200000e-03 3.200000e-03 3.400000e-03 3.400000e-03 4.669047e-03 4.669047e-03
5.930734e+01 5.710000e+01 6.160000e+01 1.054000e-01 3.200000e-03 3.200000e-03 3.300000e-03 3.300000e-03 4.596738e-03 4.596738e-03
